jogo_terminado,id_jogo,ano_copa,time,mandante,oponente,vitoria,empate,derrota,gols_marcados,gols_tomados,escanteios_afavor,gols_marcados_primeiro_tempo,gols_tomados_primeiro_tempo,abriu_placar,ambos_marcaram,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,posse_bola,chutes,chutes_gol,precisao_chute,ranking_fifa_time,ranking_fifa_oponente,diferenca_ranking,zebra
1,16,2010,Switzerland,0,Spain,1,0,0,1,0,3,0,0,1,0,4,0,21,32,8,5,0.625,890.4545454545455,1752.6363636363635,-862.1818181818182,1
1,17,2010,South Africa,1,Uruguay,0,0,1,0,3,3,0,1,0,0,2,1,13,53,9,4,0.4444444444444444,465.90909090909093,1048.090909090909,-582.181818181818,0
1,17,2010,Uruguay,0,South Africa,1,0,0,3,0,4,1,0,1,0,0,0,10,47,19,7,0.3684210526315789,1048.090909090909,465.90909090909093,582.181818181818,0
1,18,2010,Argentina,1,South Korea,1,0,0,4,1,6,2,1,1,1,3,0,19,58,22,12,0.5454545454545454,1213,638.2727272727273,574.7272727272727,0
1,18,2010,South Korea,0,Argentina,0,0,1,1,4,2,1,2,0,1,2,0,19,42,12,3,0.25,638.2727272727273,1213,-574.7272727272727,0
1,19,2010,Greece,1,Nigeria,1,0,0,2,1,11,1,1,0,1,3,0,13,56,23,12,0.5217391304347826,1006.9090909090908,809.7272727272727,197.18181818181813,0
1,19,2010,Nigeria,0,Greece,0,0,1,1,2,3,1,1,1,1,1,1,15,44,9,5,0.5555555555555556,809.7272727272727,1006.9090909090908,-197.18181818181813,0
1,20,2010,France,1,Mexico,0,0,1,0,2,7,0,0,0,0,2,0,22,53,11,5,0.4545454545454546,970.4545454545456,868.9090909090909,101.54545454545462,1
1,20,2010,Mexico,0,France,1,0,0,2,0,1,0,0,1,0,4,0,25,47,13,6,0.4615384615384616,868.9090909090909,970.4545454545456,-101.54545454545462,1
1,21,2010,Germany,1,Serbia,0,0,1,0,1,7,0,1,0,0,4,1,19,54,12,5,0.4166666666666667,1327.2727272727273,922.3636363636364,404.9090909090909,1
